id,city_name,province_id
1,Adams,1
2,Bacarra,1
3,Badoc,1
4,Bangui,1
5,Banna,1
6,Batac City,1
7,Burgos,1
8,Carasi,1
9,Currimao,1
10,Dingras,1
11,Dumalneg,1
12,Laoag City,1
13,Marcos,1
14,Nueva Era,1
15,Pagudpud,1
16,Paoay,1
17,Pasuquin,1
18,Piddig,1
19,Pinili,1
20,San Nicolas,1
21,Sarrat,1
22,Solsona,1
23,Vintar,1
1,Alilem,2
2,Banayoyo,2
3,Bantay,2
4,Burgos,2
5,Cabugao,2
6,Candon,2
7,Caoayan,2
8,Cervantes,2
9,Galimuyod,2
10,Gregorio Del Pilar,2
11,Lidlidda,2
12,Magsingal,2
13,Nagbukel,2
14,Narvacan,2
15,Quirino,2
16,Salcedo,2
17,San Emilio,2
18,San Esteban,2
19,San Ildefonso,2
20,San Juan,2
21,San Vicente,2
22,Santa,2
23,Santa Catalina,2
24,Santa Cruz,2
25,Santa Lucia,2
26,Santa Maria,2
27,Santiago,2
28,Santo Domingo,2
29,Sigay,2
30,Sinait,2
31,Sugpon,2
32,Suyo,2
33,Tagudin,2
34,Vigan City,2
1,Agoo,3
2,Aringay,3
3,Bacnotan,3
4,Bagulin,3
5,Balaoan,3
6,Bangar,3
7,Bauang,3
8,Burgos,3
9,Caba,3
10,Luna,3
11,Naguilian,3
12,Pugo,3
13,Rosario,3
14,San Fernando,3
15,San Gabriel,3
16,San Juan,3
17,Santo Tomas,3
18,Santol,3
19,Sudipen,3
20,Tubao,3
1,Agno,4
2,Aguilar,4
3,Alaminos,4
4,Alcala,4
5,Anda,4
6,Asingan,4
7,Balungao,4
8,Bani,4
9,Basista,4
10,Bautista,4
11,Bayambang,4
12,Binalonan,4
13,Binmaley,4
14,Bolinao,4
15,Bugallon,4
16,Burgos,4
17,Calasiao,4
18,Dagupan,4
19,Dasol,4
20,Infanta,4
21,Labrador,4
22,Laoac,4
23,Lingayen,4
24,Mabini,4
25,Malasiqui,4
26,Manaoag,4
27,Mangaldan,4
28,Mangatarem,4
29,Mapandan,4
30,Natividad,4
31,Pozorrubio,4
32,Rosales,4
33,San Carlos,4
34,San Fabian,4
35,San Jacinto,4
36,San Manuel,4
37,San Nicolas,4
38,San Quintin,4
39,Santa Barbara,4
40,Santa Maria,4
41,Santo Tomas,4
42,Sison,4
43,Sual,4
44,Tayug,4
45,Umingan,4
46,Urbiztondo,4
47,Urdaneta,4
48,Villasis,4
1,Basco,5
2,Itbayat,5
3,Ivana,5
4,Mahatao,5
5,Sabtang,5
6,Uyugan,5
1,Abulug,6
2,Alcala,6
3,Allacapan,6
4,Amulung,6
5,Aparri,6
6,Baggao,6
7,Ballesteros,6
8,Buguey,6
9,Calayan,6
10,Camalaniugan,6
11,Claveria,6
12,Enrile,6
13,Gattaran,6
14,Gonzaga,6
15,Iguig,6
16,Lal-Lo,6
17,Lasam,6
18,Pamplona,6
19,Peñablanca,6
20,Piat,6
21,Rizal,6
22,Sanchez-Mira,6
23,Santa Ana,6
24,Santa Praxedes,6
25,Santa Teresita,6
26,Santo Niño,6
27,Solana,6
28,Tuao,6
29,Tuguegarao,6
1,Alicia,7
2,Angadanan,7
3,Aurora,7
4,Benito Soliven,7
5,Burgos,7
6,Cabagan,7
7,Cabatuan,7
8,Cauayan,7
9,Cordon,7
10,Delfin Albano,7
11,Dinapigue,7
12,Divilacan,7
13,Echague,7
14,Gamu,7
15,Ilagan,7
16,Jones,7
17,Luna,7
18,Maconacon,7
19,Mallig,7
20,Naguilian,7
21,Palanan,7
22,Quezon,7
23,Quirino,7
24,Ramon,7
25,Reina Mercedes,7
26,Roxas,7
27,San Agustin,7
28,San Guillermo,7
29,San Isidro,7
30,San Manuel,7
31,San Mariano,7
32,San Mateo,7
33,San Pablo,7
34,Santa Maria,7
35,Santiago,7
36,Santo Tomas,7
37,Tumauini,7
1,Alfonso Castañeda,8
2,Ambaguio,8
3,Aritao,8
4,Bagabag,8
5,Bambang,8
6,Bayombong,8
7,Diadi,8
8,Dupax Del Norte,8
9,Dupax Del Sur,8
10,Kasibu,8
11,Kayapa,8
12,Quezon,8
13,Santa Fe,8
14,Solano,8
15,Villaverde,8
1,Aglipay,9
2,Cabarroguis,9
3,Diffun,9
4,Maddela,9
5,Nagtipunan,9
6,Saguday,9
1,Baler,10
2,Casiguran,10
3,Dilasag,10
4,Dinalungan,10
5,Dingalan,10
6,Dipaculao,10
7,Maria Aurora,10
8,San Luis,10
1,Abucay,11
2,Bagac,11
3,Balanga,11
4,Dinalupihan,11
5,Hermosa,11
6,Limay,11
7,Mariveles,11
8,Morong,11
9,Orani,11
10,Orion,11
11,Pilar,11
12,Samal,11
1,Angat,12
2,Balagtas,12
3,Baliuag,12
4,Bocaue,12
5,Bulakan,12
6,Bustos,12
7,Calumpit,12
8,Doña Remedios Trinidad,12
9,Guiguinto,12
10,Hagonoy,12
11,Malolos,12
12,Marilao,12
13,Meycauayan,12
14,Norzagaray,12
15,Obando,12
16,Pandi,12
17,Paombong,12
18,Plaridel,12
19,Pulilan,12
20,San Ildefonso,12
21,San Jose Del Monte,12
22,San Miguel,12
23,San Rafael,12
24,Santa Maria,12
1,Aliaga,13
2,Bongabon,13
3,Cabanatuan,13
4,Cabiao,13
5,Carranglan,13
6,Cuyapo,13
7,Gapan,13
8,General Mamerto Natividad,13
9,General Tinio,13
10,Guimba,13
11,Jaen,13
12,Laur,13
13,Licab,13
14,Llanera,13
15,Lupao,13
16,Muñoz,13
17,Nampicuan,13
18,Palayan,13
19,Pantabangan,13
20,Peñaranda,13
21,Quezon,13
22,Rizal,13
23,San Antonio,13
24,San Isidro,13
25,San Jose,13
26,San Leonardo,13
27,Santa Rosa,13
28,Santo Domingo,13
29,Talavera,13
30,Talugtug,13
31,Zaragoza,13
1,Angeles,14
2,Apalit,14
3,Arayat,14
4,Bacolor,14
5,Candaba,14
6,Floridablanca,14
7,Guagua,14
8,Lubao,14
9,Mabalacat,14
10,Macabebe,14
11,Magalang,14
12,Masantol,14
13,Mexico,14
14,Minalin,14
15,Porac,14
16,San Fernando,14
17,San Luis,14
18,San Simon,14
19,Santa Ana,14
20,Santa Rita,14
21,Santo Tomas,14
22,Sasmuan,14
1,Anao,15
2,Bamban,15
3,Camiling,15
4,Capas,15
5,Concepcion,15
6,Gerona,15
7,La Paz,15
8,Mayantoc,15
9,Moncada,15
10,Paniqui,15
11,Pura,15
12,Ramos,15
13,San Clemente,15
14,San Jose,15
15,San Manuel,15
16,Santa Ignacia,15
17,Tarlac City,15
18,Victoria,15
1,Botolan,16
2,Cabangan,16
3,Candelaria,16
4,Castillejos,16
5,Iba,16
6,Masinloc,16
7,Olongapo,16
8,Palauig,16
9,San Antonio,16
10,San Felipe,16
11,San Marcelino,16
12,San Narciso,16
13,Santa Cruz,16
14,Subic,16
1,Agoncillo,17
2,Alitagtag,17
3,Balayan,17
4,Balete,17
5,Batangas City,17
6,Bauan,17
7,Calaca,17
8,Calatagan,17
9,Cuenca,17
10,Ibaan,17
11,Laurel,17
12,Lemery,17
13,Lian,17
14,Lipa,17
15,Lobo,17
16,Mabini,17
17,Malvar,17
18,Mataas Na Kahoy,17
19,Nasugbu,17
20,Padre Garcia,17
21,Rosario,17
22,San Jose,17
23,San Juan,17
24,San Luis,17
25,San Nicolas,17
26,San Pascual,17
27,San Teresita,17
28,Santo Tomas,17
29,Taal,17
30,Talisay,17
31,Tanauan,17
32,Taysan,17
33,Tingloy,17
34,Tuy,17
1,Alfonso,18
2,Amadeo,18
3,Bacoor,18
4,Carmona,18
5,Cavite City,18
6,Dasmariñas,18
7,General Emilio Aguinaldo,18
8,General Mariano Alvarez,18
9,General Trias,18
10,Imus,18
11,Indang,18
12,Kawit,18
13,Magallanes,18
14,Maragondon,18
15,Mendez,18
16,Naic,18
17,Noveleta,18
18,Rosario,18
19,Silang,18
20,Tagaytay City,18
21,Tanza,18
22,Ternate,18
23,Trece Martires,18
1,Alaminos,19
2,Bay,19
3,Biñan,19
4,Cabuyao,19
5,Calamba,19
6,Calauan,19
7,Cavinti,19
8,Famy,19
9,Kalayaan,19
10,Liliw,19
11,Los Baños,19
12,Luisiana,19
13,Lumban,19
14,Mabitac,19
15,Magdalena,19
16,Majayjay,19
17,Nagcarlan,19
18,Paete,19
19,Pagsanjan,19
20,Pakil,19
21,Pangil,19
22,Pila,19
